"코드","종목명","액면가"
"292150","TIGER TOP10","0"
"004000","롯데정밀화학","5,000"
"305720","KODEX 2차전지산업","0"
"004800","효성","5,000"
"003090","대웅","500"
"069960","현대백화점","5,000"
"009240","한샘","1,000"
"285130","SK케미칼","5,000"
"280360","롯데웰푸드","500"
"192820","코스맥스","500"
"353200","대덕전자","500"
"385540","KBSTAR 종합채권(A-이상)액티브","0"
"005300","롯데칠성","500"
"395400","SK리츠","500"
"004490","세방전지","500"
"001440","대한전선","1,000"
"214980","KODEX 단기채권PLUS","0"
"294870","HDC현대산업개발","5,000"
"233740","KODEX 코스닥150레버리지","0"
"008730","율촌화학","500"
"315930","KODEX Top5PlusTR","0"
"039130","하나투어","500"
"161890","한국콜마","500"
"120110","코오롱인더","5,000"
"001120","LX인터내셔널","5,000"
"267270","HD현대건설기계","5,000"
"192080","더블유게임즈","500"
"082640","동양생명","5,000"
"023590","다우기술","500"
"089860","롯데렌탈","5,000"
"003530","한화투자증권","5,000"
"000210","DL","5,000"
"017860","DS단석","500"
"610063","메리츠 KIS CD금리투자 ETN","0"
"281820","케이씨텍","500"
"336370","솔루스첨단소재","100"
"453850","ACE 미국30년국채액티브(H)","0"
"365550","ESR켄달스퀘어리츠","1,000"
"000670","영풍","5,000"
"001800","오리온홀딩스","500"
"272580","TIGER 단기채권액티브","0"
"003030","세아제강지주","5,000"
"010780","아이에스동서","500"
"089590","제주항공","1,000"
"003850","보령","500"
"181710","NHN","500"
"003540","대신증권","5,000"
"000400","롯데손해보험","1,000"
"214320","이노션","500"
"001430","세아베스틸지주","5,000"
"006650","대한유화","5,000"
"271940","일진하이솔루스","500"
"003240","태광산업","5,000"
"020560","아시아나항공","5,000"
"360200","ACE 미국S&P500","0"
"009900","명신산업","500"
"379800","KODEX 미국S&P500TR","0"
"348950","제이알글로벌리츠","1,000"
"195870","해성디에스","5,000"
"093370","후성","500"
"300720","한일시멘트","500"
"006120","SK디스커버리","5,000"
"069260","TKG휴켐스","1,000"
"229200","KODEX 코스닥150","0"
"002840","미원상사","500"
"330590","롯데리츠","500"
"085620","미래에셋생명","5,000"
"007340","DN오토모티브","500"
"002350","넥센타이어","500"
"005250","녹십자홀딩스","500"
"139260","TIGER 200 IT","0"
"470260","TIGER 24-12 금융채(AA-이상)","0"
"000815","삼성화재우","500"
"100090","SK오션플랜트","500"
"001060","JW중외제약","2,500"
"453530","TIGER 24-04 회사채(A+이상)액티브","0"
"192650","드림텍","100"
"105630","한세실업","500"
"456040","OCI","5,000"
"114090","GKL","500"
"009450","경동나비엔","1,000"
"462010","TIGER 2차전지소재Fn","0"
"091160","KODEX 반도체","0"
"066575","LG전자우","5,000"
"000640","동아쏘시오홀딩스","5,000"
"161000","애경케미칼","500"
"170900","동아에스티","5,000"
"016380","KG스틸","5,000"
"079160","CJ CGV","500"
"396500","TIGER Fn반도체TOP10","0"
"379810","KODEX 미국나스닥100TR","0"
"032350","롯데관광개발","500"
"403550","쏘카","100"
"025540","한국단자","500"
"367380","ACE 미국나스닥100","0"
"157450","TIGER 단기통안채","0"
"447820","TIGER 24-10 회사채(A+이상)액티브","0"
"148070","KOSEF 국고채10년","0"
"294400","KOSEF 200TR","0"
"268280","미원에스씨","500"
"001680","대상","1,000"
"091180","KODEX 자동차","0"
"178920","PI첨단소재","500"
"001530","DI동일","500"
"064960","SNT모티브","5,000"
"192400","쿠쿠홀딩스","100"
"344820","KCC글라스","1,000"
"082740","HSD엔진","1,000"
"019170","신풍제약","500"
"436140","SOL 종합채권(AA-이상)액티브","0"
"114800","KODEX 인버스","0"
"005440","현대지에프홀딩스","500"
"381970","케이카","500"
"293940","신한알파리츠","1,000"
"001720","신영증권","5,000"
"005880","대한해운","500"
"003280","흥아해운","500"
"000070","삼양홀딩스","5,000"
"356540","ACE 종합채권(AA-이상)KIS액티브","0"
"152100","ARIRANG 200","0"
"103590","일진전기","1,000"
"272450","진에어","1,000"
"030190","NICE평가정보","500"
"371160","TIGER 차이나항셍테크","0"
"007700","F&F홀딩스","500"
"049770","동원F&B","1,000"
"153130","KODEX 단기채권","0"
"550057","QV 코스피 변동성 매칭형 양매도 ETN","0"
"030610","교보증권","5,000"
"090460","비에이치","500"
"057050","현대홈쇼핑","5,000"
"003570","SNT다이내믹스","2,500"
"033240","자화전자","500"
"460860","동국제강","5,000"
"458730","TIGER 미국배당다우존스","0"
"031430","신세계인터내셔날","1,000"
"530031","삼성 레버리지 WTI원유 선물 ETN","0"
"329750","TIGER 미국달러단기채권액티브","0"
"229640","LS에코에너지","500"
"091810","티웨이항공","500"
"453540","TIGER 25-10 회사채(A+이상)액티브","0"
"210980","SK디앤디","1,000"
"000370","한화손해보험","5,000"
"293180","HANARO 200","0"
"286940","롯데정보통신","5,000"
"00680","미래에셋증권2우B","5,000"
"383800","LX홀딩스","1,000"
"002240","고려제강","1,000"
"003470","유안타증권","5,000"
"461460","ARIRANG 국고채10년액티브","0"
"005180","빙그레","5,000"
"950210","프레스티지바이오파마","0"
"017960","한국카본","500"
"550082","QV KIS CD금리투자 ETN","0"
"200880","서연이화","500"
"314250","KODEX 미국빅테크10(H)","0"
"500019","신한 레버리지 WTI원유 선물 ETN(H)","0"
"014830","유니드","5,000"
"900140","엘브이엠씨홀딩스","0"
"278540","KODEX MSCI Korea TR","0"
"034310","NICE","500"
"395170","KODEX Fn Top10동일가중","0"
"005610","SPC삼립","5,000"
"145990","삼양사","5,000"
"105190","ACE 200","0"
