"코드","종목명","액면가"
"102710","이엔에프테크놀로지","500"
"230360","에코마케팅","100"
"018310","삼목에스폼","500"
"445680","큐리옥스바이오시스템즈","500"
"166480","코아스템켐온","500"
"439090","마녀공장","100"
"094480","갤럭시아머니트리","500"
"402030","코난테크놀로지","500"
"322310","오로스테크놀로지","500"
"092870","엑시콘","500"
"443670","에스피소프트","100"
"039840","디오","500"
"265520","AP시스템","500"
"064800","젬백스링크","100"
"013030","하이록코리아","500"
"161580","필옵틱스","500"
"090360","로보스타","500"
"025770","한국정보통신","500"
"079810","디이엔티","500"
"126700","하이비젼시스템","500"
"200670","휴메딕스","500"
"038500","삼표시멘트","500"
"278650","HLB바이오스텝","100"
"061970","LB세미콘","500"
"100790","미래에셋벤처투자","1,000"
"032620","유비케어","500"
"060150","인선이엔티","500"
"263720","디앤씨미디어","500"
"051980","중앙첨단소재","500"
"448280","에코아이","500"
"254490","미래반도체","100"
"136480","하림","500"
"217270","넵튠","500"
"267980","매일유업","500"
"066790","씨씨에스","500"
"051370","인터플렉스","500"
"054950","제이브이엠","500"
"270660","에브리봇","500"
"047560","이스트소프트","500"
"148150","세경하이테크","500"
"101670","하이드로리튬","200"
"089980","상아프론테크","500"
"033160","엠케이전자","500"
"023160","태광","500"
"108230","톱텍","500"
"307750","국전약품","100"
"027360","아주IB투자","500"
"382840","원준","100"
"123860","아나패스","500"
"030530","원익홀딩스","500"
"297890","HB솔루션","500"
"042600","새로닉스","500"
"058820","CMG제약","500"
"077360","덕산하이메탈","200"
"080160","모두투어","500"
"035890","서희건설","500"
"217330","싸이토젠","500"
"041960","코미팜","100"
"014620","성광벤드","500"
"107600","새빗켐","500"
"045100","한양이엔지","500"
"298830","슈어소프트테크","100"
"282880","코윈테크","500"
"146320","비씨엔씨","500"
"052020","에스티큐브","500"
"171090","선익시스템","500"
"036200","유니셈","500"
"102120","어보브반도체","500"
"053080","케이엔솔","500"
"064260","다날","500"
"083650","비에이치아이","500"
"138580","비즈니스온","500"
"251970","펌텍코리아","500"
"356860","티엘비","500"
"049950","미래컴퍼니","500"
"304100","솔트룩스","500"
"003800","에이스침대","1,000"
"051500","CJ프레시웨이","1,000"
"023410","유진기업","500"
"950130","엑세스바이오","0"
"031330","에스에이엠티","500"
"084110","휴온스글로벌","500"
"036620","감성코퍼레이션","500"
"204620","글로벌텍스프리","500"
"226950","올릭스","500"
"100120","뷰웍스","500"
"174900","앱클론","500"
"036030","케이티알파","1,000"
"334970","프레스티지바이오로직스","500"
"217820","원익피앤이","500"
"051360","토비스","500"
"354320","알멕","500"
"063080","컴투스홀딩스","500"
"089890","코세스","500"
"126340","비나텍","500"
"199430","케이엔알시스템","100"
"024850","HLB이노베이션","500"
"093520","매커스","500"
"092070","디엔에프","500"
"214680","디알텍","100"
"228670","레이","500"
"091580","상신이디피","500"
"402490","그린리소스","500"
"121800","비덴트","500"
"052400","코나아이","500"
"290670","대보마그네틱","500"
"089600","나스미디어","500"
"013120","동원개발","500"
"083790","CG인바이츠","500"
"388720","유일로보틱스","500"
"417010","나노팀","500"
"216080","제테마","500"
"034810","해성산업","500"
"078350","한양디지텍","500"
"078160","메디포스트","500"
"038290","마크로젠","500"
"060570","드림어스컴퍼니","500"
"096040","이트론","200"
"451760","컨텍","500"
"268600","셀리버리","500"
"035080","그래디언트","2,500"
